Depression and anxiety,Life satisfaction,Self-esteem,Subjective happiness,Loneliness,Greenspace use (frequency),Greenspace use (duration),Nature view,Sex,Age,Income,Impact of COVID-19 on income,Number of working days,Number of children,Presence of a pet,Frequency of drinking alcohol,Frequency of smoking,Housing type
4,16,34,23,40,5,3,0,male,62,4,4,7,0,0,4,0,owned_flat
4,12,22,16,60,0,0,1,female,55,2,5,5,0,0,1,0,owned_house
10,11,21,14,64,1,1.5,0,male,41,4,3,7,1,0,6,6,owned_flat
4,12,27,20,55,0,0,1,male,61,3,3,3,0,0,2,0,owned_house
2,11,24,14,60,0,0,1,male,64,1,5,0,0,0,4,0,owned_house
2,13,23,21,64,0,0,1,female,60,3,3,0,0,1,4,0,owned_house
11,10,29,16,46,0,0,1,female,68,2,2,7,0,1,3,0,owned_house
0,11,27,17,42,4,0.5,1,female,66,2,4,7,0,0,0,0,owned_flat
3,15,39,28,38,0,0,1,male,54,2,4,6,0,0,6,0,owned_house
0,10,27,16,53,0,0,0,male,61,4,4,7,2,0,4,0,other
2,15,28,15,50,3,3,1,female,61,1,3,7,2,0,0,0,owned_flat
0,14,39,26,20,1,0.5,1,female,68,3,4,0,0,0,6,0,owned_flat
1,13,27,21,40,0,0,0,male,68,3,5,7,0,0,5,0,owned_house
0,15,40,27,23,5,1.5,1,female,71,2,4,0,0,0,4,0,owned_flat
1,14,32,18,41,0,0,0,female,71,3,4,0,0,1,7,7,owned_house
12,10,21,12,57,4,1.5,1,male,49,3,3,7,0,0,0,7,rented_flat
12,8,23,8,66,0,0,1,male,62,3,2,7,0,0,6,0,owned_house
1,10,37,26,38,0,0,0,female,64,5,3,7,0,1,7,0,owned_flat
6,7,25,18,60,0,0,1,male,45,2,4,7,0,0,0,0,owned_house
8,10,23,9,51,0,0,1,male,57,4,4,5,0,0,4,0,rented_flat
12,10,22,15,52,7,3,1,male,58,2,4,5,0,0,7,0,rented_flat
0,14,34,20,41,0,0,1,female,70,3,4,5,0,0,0,0,owned_flat
8,10,28,17,33,0,0,1,female,70,1,4,0,0,1,0,0,owned_house
5,12,21,17,49,0,0,1,female,39,3,4,4,0,1,7,0,owned_house
0,15,32,23,30,1,1.5,1,male,77,2,4,0,0,0,7,0,owned_flat
1,8,35,19,60,0,0,1,male,72,3,4,0,0,0,5,0,owned_flat
10,13,27,18,51,0,0,1,male,71,2,1,0,0,0,4,0,rented_flat
0,13,31,24,40,5,5,1,female,72,3,4,0,0,0,3,0,owned_house
8,12,26,15,45,0,0,1,female,50,2,3,5,0,0,1,0,owned_flat
